ID;DescENG;DescESP
1;AFGHANISTAN;AFGANISTÁN
2;ALBANIA;ALBANIA
3;ALGERIA;ARGELIA
4;AMERICAN SAMOA;SAMOA AMERICANA
5;ANDORRA;ANDORRA
6;ANGOLA;ANGOLA
7;ANGUILLA;ANGUILLA
8;ANTIGUA AND BARBUDA;ANTIGUA Y BARBUDA
9;ARGENTINA;ARGENTINA
10;ARMENIA;ARMENIA
11;ARUBA;ARUBA
12;AUSTRALIA;AUSTRALIA
13;AUSTRIA;AUSTRIA
14;AZERBAIJAN;AZERBAIYÁN
15;BAHAMAS;BAHAMAS
16;BAHRAIN;BAHREIN
17;BANGLADESH;BANGLADESH
18;BARBADOS;BARBADOS
19;BELARUS;BIELORRUSIA
20;BELGIUM;BÉLGICA
21;BELIZE;BELICE
22;BENIN;BENÍN
23;BERMUDA;BERMUDAS
24;BHUTAN;BUTÁN
25;BOLIVIA;BOLIVIA
26;BOSNIA AND HERZEGOVINA;BOSNIA-HERZEGOVINA
27;BOTSWANA;BOTSWANA
28;BRAZIL;BRASIL
29;BRUNEI DARUSSALAM;BRUNEI DARUSSALAM
30;BULGARIA;BULGARIA
31;BURKINA FASO;BURKINA FASO
32;BURUNDI;BURUNDI
33;CAMBODIA;CAMBOYA
34;CAMEROON;CAMERÚN
35;CANADA;CANADÁ
36;CAPE VERDE;CABO VERDE
37;CAYMAN ISLANDS;ISLAS CAIMÁN
38;CENTRAL AFRICAN REPUBLIC;REPÚBLICA CENTROAFRICANA
39;CHAD;CHAD
40;CHILE;CHILE
41;CHINA;CHINA
42;CHRISTMAS ISLAND;ISLA DE NAVIDAD, ISLA CHRISTMAS
43;COCOS (KEELING) ISLANDS;ISLAS COCOS
44;COLOMBIA;COLOMBIA
45;COMOROS;COMORES
46;CONGO, REPUBLIC OF (BRAZZAVILLE);REPÚBLICA DEL CONGO
47;COOK ISLANDS;ISLAS COOK
48;COSTA RICA;COSTA RICA
49;CROATIA;CROACIA
50;CUBA;CUBA
51;CYPRUS;CHIPRE
52;CZECH REPUBLIC;REPÚBLICA CHECA
53;DEMOCRATIC REPUBLIC OF THE CONGO(KINSHASA);REPÚBLICA DEMOCRÁTICA DEL CONGO
54;DENMARK;DINAMARCA
